Instance,Algorithm,Parameters,Optimal Cost,Total Cost,Difference,Execution Time (s)
XML100_1111_11,ACO-TS Hybrid,"{'num_ants': 10, 'iterations': 20, 'decay': 0.1, 'alpha': 2, 'beta': 5, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",33202,34439.06068779293,1237.0606877929313,3.3637592792510986
XML100_1111_11,ACO-TS Hybrid,"{'num_ants': 5, 'iterations': 20, 'decay': 0.05, 'alpha': 1, 'beta': 5, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",33202,34427.772628586725,1225.7726285867247,2.4741427898406982
XML100_1111_12,ACO-TS Hybrid,"{'num_ants': 5, 'iterations': 10, 'decay': 0.05, 'alpha': 1, 'beta': 2, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",33059,34832.3153984605,1773.3153984605015,2.0438919067382812
XML100_1111_12,ACO-TS Hybrid,"{'num_ants': 10, 'iterations': 20, 'decay': 0.05, 'alpha': 1, 'beta': 2, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",33059,34800.441862682776,1741.4418626827755,3.3777079582214355
XML100_1111_12,ACO-TS Hybrid,"{'num_ants': 5, 'iterations': 10, 'decay': 0.1, 'alpha': 2, 'beta': 5, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",33059,34894.11895767609,1835.118957676088,2.0268630981445312
XML100_1111_12,ACO-TS Hybrid,"{'num_ants': 10, 'iterations': 20, 'decay': 0.1, 'alpha': 2, 'beta': 5, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",33059,34884.637630369674,1825.6376303696743,3.3828859329223633
XML100_1111_12,ACO-TS Hybrid,"{'num_ants': 5, 'iterations': 20, 'decay': 0.05, 'alpha': 1, 'beta': 5, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",33059,34831.96320422585,1772.9632042258527,2.493726968765259
XML100_1111_13,ACO-TS Hybrid,"{'num_ants': 5, 'iterations': 10, 'decay': 0.05, 'alpha': 1, 'beta': 2, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",31387,32440.755361772903,1053.7553617729027,1.9401428699493408
XML100_1111_13,ACO-TS Hybrid,"{'num_ants': 10, 'iterations': 20, 'decay': 0.05, 'alpha': 1, 'beta': 2, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",31387,32793.69724496046,1406.6972449604582,3.3399291038513184
XML100_1111_13,ACO-TS Hybrid,"{'num_ants': 5, 'iterations': 10, 'decay': 0.1, 'alpha': 2, 'beta': 5, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",31387,32509.756995032814,1122.7569950328143,1.977797031402588
XML100_1111_13,ACO-TS Hybrid,"{'num_ants': 10, 'iterations': 20, 'decay': 0.1, 'alpha': 2, 'beta': 5, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",31387,32975.02770235819,1588.0277023581875,3.4136929512023926
XML100_1111_13,ACO-TS Hybrid,"{'num_ants': 5, 'iterations': 20, 'decay': 0.05, 'alpha': 1, 'beta': 5, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",31387,32927.41139186423,1540.4113918642324,2.5015158653259277
XML100_1111_14,ACO-TS Hybrid,"{'num_ants': 5, 'iterations': 10, 'decay': 0.05, 'alpha': 1, 'beta': 2, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",33469,34881.342984243565,1412.3429842435653,1.9974560737609863
XML100_1111_14,ACO-TS Hybrid,"{'num_ants': 10, 'iterations': 20, 'decay': 0.05, 'alpha': 1, 'beta': 2, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",33469,34849.384802935754,1380.3848029357541,3.340592861175537
XML100_1111_14,ACO-TS Hybrid,"{'num_ants': 5, 'iterations': 10, 'decay': 0.1, 'alpha': 2, 'beta': 5, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",33469,34719.44224049995,1250.4422404999495,1.974174976348877
XML100_1111_14,ACO-TS Hybrid,"{'num_ants': 10, 'iterations': 20, 'decay': 0.1, 'alpha': 2, 'beta': 5, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",33469,34723.906609745885,1254.9066097458854,3.336453914642334
XML100_1111_14,ACO-TS Hybrid,"{'num_ants': 5, 'iterations': 20, 'decay': 0.05, 'alpha': 1, 'beta': 5, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",33469,34977.61488417947,1508.6148841794711,2.4588379859924316
XML100_1111_15,ACO-TS Hybrid,"{'num_ants': 5, 'iterations': 10, 'decay': 0.05, 'alpha': 1, 'beta': 2, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",38924,40330.25243145999,1406.2524314599868,2.0710530281066895
XML100_1111_15,ACO-TS Hybrid,"{'num_ants': 10, 'iterations': 20, 'decay': 0.05, 'alpha': 1, 'beta': 2, 'max_iterations': 100, 'tabu_size': 50, 'neighborhood_size': 50}",38924,40155.847370301955,1231.8473703019554,3.4007749557495117
